;Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
0;Aruba;ABW;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;1079459785,0753777;1253019985,8129876;1486691280,464599;1667024562,206603;1733062101,9994495;1871063627,4639878;1981126193,785399;2125900800,2543318;2300307636,117491;2358899781,9527445;2386871336,548206;2555071151,651912;2605967807,513485;2638230786,2333302;2839173960,8271194;2754814813,5998225;2664631917,3344097;2717272980,2086644;2932251756,5773225;2967859536,6876755;2999040092,3995066;3053029591,0382237;3050260247,542552;2729380539,8121204;2628802064,8306255;2719392023,2644024;2682140077,7402325;2794742549,4382915;2803126777,086606;2962905027,932961;3025126021,2433443;3085628514,575887;;;;
1;Africa Eastern and Southern;AFE;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;;;;;;332413861028,14386;345753887929,5703;346888193290,5629;347513366631,41473;359113027150,3606;358471197930,651;366402741716,8781;380826813451,63586;396781049308,6704;407290006698,036;407497014554,9538;407108174992,08997;397568848057,50525;393237664710,0671;401306562686,7001;419004080516,5293;442342732156,0091;457494792861,2528;465681693043,983;477807465237,00116;493083651737,6649;510472146755,02106;530853295471,485;546290528937,64215;577191898398,5426;613911715966,4232;654974767649,4135;699888376338,2806;731891046481,4636;738820673505,7616;776887200452,9507;808072876833,3466;824013340189,438;859514882216,1716;893781629582,5597;919930022724,4215;938507003390,8257;962366647531,2079;986187837152,574;1006679813065,2885;977091625151,7062;
2;Afghanistan;AFG;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7228792185,8025;7867259194,150678;7978511520,994766;8874475611,973972;9349917056,942453;10642666466,70606;11060389403,712795;13426265139,502136;15354604611,671885;15420069703,07929;17386481260,89624;18360253681,344234;18860486754,623417;19134211763,859024;19566705069,66521;20084636379,3769;20323488524,68336;21118462796,760918;20621946475,72478;
3;Africa Western and Central;AFW;GDP (constant 2015 US$);NY.GDP.MKTP.KD;104844099903,20467;106782372409,95773;110808294540,704;118866828963,49057;125281306615,0373;130354942008,80547;128025377068,50739;115803407356,06537;117500785400,6804;135703929289,33508;160007146329,3889;177299932209,66986;182877712751,43286;190583072087,85052;210117554071,38004;205569949397,59457;223205212840,6248;233754333710,96872;228625259428,37796;240584167283,3635;245384642358,4103;228372728441,1832;220721147106,4671;206298786490,6829;207452740169,6051;218969867228,64453;222067762145,33902;225284162241,86926;236197562440,72113;241564236844,10828;257417907712,14236;260303740766,00702;267316217601,01474;264214097653,17;263422403289,9379;268498625644,53207;280927555195,7818;292823990200,8201;303091909848,769;307398953556,98206;318879183365,91125;335501383769,45966;368714648443,90674;389062203712,7319;420239648040,0627;444816736541,64734;468723246620,8233;494648269304,64874;525708337567,3273;558693713983,5216;597562091886,6373;626533999497,8793;658756419175,7025;698968496793,3885;740398805175,8594;760729687146,5742;761700338996,091;779356869183,8756;802365278925,6562;827963431037,2754;820636112652,4973;
4;Angola;AGO;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;;;;;;29612271580,781055;28309331270,145996;28309331270,145996;29498323587,846092;31268223641,57061;32362611309,412144;33301127601,352528;34660728934,43204;36785047049,076;36800357523,39792;35530708872,921295;35882945860,207985;33787998745,571487;25684481961,103825;26028490521,34013;29932764107,05385;33986968355,635845;36459274698,2462;38169632669,28981;39002299281,52316;40193672967,31384;41884218272,00085;47607984243,67127;49031391565,529785;54401732106,977325;62577722356,60457;69803999474,4559;79583552534,91447;88469962099,17885;89229664824,29716;93159279071,89468;96393747204,01509;104627881965,96733;109811717090,51398;115107527232,24348;116193649124,15137;113195795293,51578;113029156434,07878;110764470655,24689;110072586683,26077;104128680882,97385;
5;Albania;ALB;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;;;;;;4650625160,566012;4917833121,090437;5062840191,205394;5118781449,613183;5054714952,740374;5144721429,230072;5434741887,039401;5391924672,2634535;5315357203,7591505;5838204918,062655;5279159422,751714;3800881722,9442816;3527708137,7162623;3864936281,9755545;4185836785,3001184;4743487914,072331;5175145287,860251;4610020246,044928;5017058469,28803;5663797625,166139;6057217275,170974;6559561240,860765;6857137321,176182;7236243584,078586;7635298386,900523;8057257367,835248;8532849798,075165;9043392346,220842;9721650518,693907;10047742806,902533;10420206418,26426;10685442992,70445;10836881664,207157;10945469119,311796;11139690870,770615;11386850129,841055;11764322012,167181;12211628287,160088;12702457551,514963;12970913827,570368;12457862570,961506;
6;Andorra;AND;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;;;;;;859118311,5979253;899062719,9041228;972334025,3779947;1048063942,0475895;1106952451,18331;1112954410,0134492;1149724053,678401;1182359839,7436957;1199657766,3147895;1200156310,4336226;1226664494,1884906;1225039476,392386;1240309117,0897293;1262264055,9579196;1284791514,6022835;1314617089,2171605;1357385813,2819977;1432681662,670298;1505667140,0206194;1578346208,4711077;1638029596,1196232;1679733887,3456166;1695342210,4635856;1677855020,2055905;1717841363,1978605;1765210866,5013318;1847288558,724787;2014794627,073748;2079163152,6998508;2164389691,2415724;2240757202,45755;2422692295,3998246;2532836662,470808;2753046641,7027135;2977025605,9161077;3137719374,544795;3288602531,5201735;3339680716,04543;3154021640,9274154;2986768713,360793;2927781285,7251277;2927545020,994945;2781915941,590777;2683224788,5829463;2750425228,267827;2789870187,5069346;2893365390,0284843;2903378514,307665;2949506390,200518;3008955096,5951123;2649303923,7495437;
7;Arab World;ARB;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;550301873320,4244;636880375951,3866;688687979613,7389;685233242451,2577;762351034823,2853;832029276533,1396;859770703952,1046;786655807147,9281;736692724671,4569;747136673056,1792;732468304359,0858;765395207581,8716;763108517545,503;808201293483,8457;824893254648,7817;926958107665,1388;948621940703,2299;997601074557,7504;1028941593430,5458;1063130976177,3964;1094919041569,5934;1146310460068,4033;1195866539801,7092;1257432528221,675;1280187978522,1277;1364673792994,6714;1387665961545,7505;1396062958479,528;1461867253559,0667;1593496042689,2876;1679783873884,1455;1781675531751,1584;1862281278151,442;1969809311815,8118;1982476624054,0068;2077172086641,6462;2156245406475,6948;2264960921013,9106;2332118132273,6855;2391772244181,8667;2463579840358,4307;2542415224638,9805;2566039016326,602;2627566299505,791;2681441590769,141;2539812021283,6035;
8;United Arab Emirates;ARE;GDP (constant 2015 US$);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;54529833760,48058;63541901139,0436;77164859120,66457;75938243958,27402;91827237926,28557;113750784287,71368;119050634295,813;111051245756,38658;105780952747,71008;110030122082,67604;106075115182,38249;90208254592,41635;93259081262,74796;90816711999,03416;102021579191,5982;120720079467,02596;121758371075,45097;125831121452,60081;127418092170,52852;136205033086,85516;145314271057,45294;153740179652,12817;166332113236,6742;166817793607,37433;171659202375,14493;190288867862,62537;192951170927,26877;197646554336,87076;215040520020,46005;235612235112,4402;247051541802,9288;271354791975,40762;279995787306,8617;288932794417,6847;273784273643,58905;278172625005,8005;297445839250,2886;310782691949,1288;326486783333,23376;340885128840,366;358135057862,4915;368822581887,8722;377576774179,0668;382069392728,14606;395103837869,75275;370866189764,80566;
9;Argentina;ARG;GDP (constant 2015 US$);NY.GDP.MKTP.KD;150797810292,94952;158982878501,39612;157628310157,91296;149261089200,41785;164381681829,11844;181755894113,78156;180556802911,8988;186320169964,112;195305461616,8845;214210104569,27002;220734180307,71393;233223609574,90808;237021461353,03223;243685921870,56323;257171024124,6238;257097956428,9624;251909073023,99274;269376820356,68387;257238364642,46756;283535234200,77374;287841521828,72174;272903153788,289;270895516735,07562;282677015448,06866;287117132732,0204;272218554795,3458;288969188906,66016;296785426414,1673;293550663098,2797;272541389926,80347;265817211208,20654;290094591011,8441;313120244489,8896;338817957426,0348;358592053441,5451;348389357874,28314;367643757074,8025;397463514160,8664;412766570325,7643;398792535409,2926;395646066535,8751;378202665751,8526;336999433710,193;366780211148,6741;399898899166,7381;435296589745,3388;470325565798,35266;512690850741,5605;533491913656,2786;501917060966,2351;552738161802,4628;585924294024,7853;579910247223,428;593858966307,1565;578937574935,6956;594749285413,2124;582376550428,09;598790850843,6769;583118120294,0024;571304530654,9193;514772410744,8861;
