;"World"
"1980-01-01 00:00:00";1358,584573218
"1981-01-01 00:00:00";1359,3463004621
"1982-01-01 00:00:00";1363,3775532381
"1983-01-01 00:00:00";1390,9833748761
"1984-01-01 00:00:00";1534,5749241244
"1985-01-01 00:00:00";1598,3552328397
"1986-01-01 00:00:00";1619,8627363527
"1987-01-01 00:00:00";1704,042894726
"1988-01-01 00:00:00";1791,010074408
"1989-01-01 00:00:00";1872,216551287
"1990-01-01 00:00:00";1894,752106536
"1991-01-01 00:00:00";1935,27570748
"1992-01-01 00:00:00";1944,875347546
"1993-01-01 00:00:00";1995,312493359
"1994-01-01 00:00:00";1992,555204407
"1995-01-01 00:00:00";2051,1583589806
"1996-01-01 00:00:00";2098,4251294328
"1997-01-01 00:00:00";2111,0565854948
"1998-01-01 00:00:00";2128,0572605728
"1999-01-01 00:00:00";2182,1722218298
"2000-01-01 00:00:00";2260,0067323698
"2001-01-01 00:00:00";2268,241814957
"2002-01-01 00:00:00";2372,3792948101
"2003-01-01 00:00:00";2441,158986884
"2004-01-01 00:00:00";2517,017085793
"2005-01-01 00:00:00";2587,943604322
"2006-01-01 00:00:00";2681,39626758
"2007-01-01 00:00:00";2767,3731984117
"2008-01-01 00:00:00";2846,868319706
"2009-01-01 00:00:00";2752,955684677
"2010-01-01 00:00:00";3012,0999953238
"2011-01-01 00:00:00";3102,1071596448
"2012-01-01 00:00:00";3172,984807067
"2013-01-01 00:00:00";3219,6965231872
"2014-01-01 00:00:00";3232,066597461
"2015-01-01 00:00:00";3280,1538750062
"2016-01-01 00:00:00";3348,0505322439
