,Oil,Coal,Gas,Hydroelectricity,Nuclear,Biomass and Waste,Wind,Fuel Ethanol,"Solar, Tide, Wave, Fuel Cell",Geothermal,Biodiesel,,,,,,,,,,,
1980-01-01 00:00:00,121,20161,35,3413,23,456087,16,767719,16,525703,0,15572752,0,0,0,11546493,0,0,0,0,0,0
1981-01-01 00:00:00,107,68017,31,372465,24,285686,17,284855,25,856588,0,16671443,0,0,0,13020514,0,0,0,0,0,0
1982-01-01 00:00:00,100,5517,33,221279,23,482342,16,852966,26,740404,0,25652048,0,0,0,14003193,0,0,0,0,0,0
1983-01-01 00:00:00,97,448753,29,389465,24,566784,16,586414,35,432919,0,16384828,0,0,0,14003193,0,0,0,0,0,0
1984-01-01 00:00:00,92,167885,27,958414,26,17019,15,725341,47,23113,0,21137862,0,0,0,14003193,0,0,0,0,0,0
1985-01-01 00:00:00,90,805397,26,718954,26,82049,14,80113,55,28011,0,17961212,0,0,0,14003193,0,0,0,0,0,0
1986-01-01 00:00:00,91,269142,22,771631,27,108727,14,974327,62,419033,0,2013471,0,0,0,13757524,0,0,0,0,0,0
1987-01-01 00:00:00,92,285896,20,410984,27,489374,16,858618,64,94828,0,20970669,0,0,0,13266183,0,0,0,0,0,0
1988-01-01 00:00:00,93,323608,19,821688,26,547564,18,167793,67,82016,0,20254132,0,0,0,13266183,0,0,0,0,0,0
1989-01-01 00:00:00,95,379555,21,621395,27,239,11,237931,75,227341,0,36041847,0,0,0,13020514,0,0,0,0,0,0
1990-01-01 00:00:00,94,696548,21,187031,27,434568,12,970397,77,744858,0,3897965,0,0,0,14027761,0,0,0,0,0,0
1991-01-01 00:00:00,100,68624,22,712839,31,71402,13,825574,82,16991,0,43302763,0,0,0,14347132,0,0,0,0,0,0
1992-01-01 00:00:00,100,46259,20,376402,31,431887,16,782459,83,775711,0,44377568,0,0,29303511,0,14224297,0,0,0,0,0
1993-01-01 00:00:00,97,41037,16,62496,31,671392,15,796585,91,138123,0,415353,0,49134012,0,17582105,0,13683823,0,0,0,0
1994-01-01 00:00:00,96,73188,15,558274,31,515074,19,176268,89,106544,0,4600172,0,12283503,0,23442809,0,13831225,0,0,0,0
1995-01-01 00:00:00,99,617584,16,669777,32,157524,17,736397,93,376457,0,52378905,0,12283503,0,23442809,0,13978627,0,0,0,0
1996-01-01 00:00:00,101,33897,17,274292,35,503262,15,828523,98,35405,0,57299131,0,17196905,0,38094565,0,13462719,0,0,0,0
1997-01-01 00:00:00,102,16595,15,346625,35,216236,15,51431,97,894424,0,64894432,0,27023708,0,55676669,0,14052328,0,0,0,0
1998-01-01 00:00:00,106,37264,18,11604,36,61157,15,10355,96,39764,0,6453616,0,49134013,0,64467721,0,14543667,0,0,0,0
1999-01-01 00:00:00,105,90916,16,435995,37,872257,17,646973,97,587746,0,75475305,0,90897921,0,58607019,0,14297998,0,0,0,0
2000-01-01 00:00:00,98,257095,15,65649,39,7691,16,328707,102,76557,0,85053027,0,18916596,0,58607019,0,14199729,0,0,26051602,0
2001-01-01 00:00:00,100,56031,13,792459,41,698338,18,152069,104,22836,1,308589,0,32182779,0,52746318,0,13487287,0,0,26308689,0
2002-01-01 00:00:00,97,291748,13,639601,42,7421,14,738238,108,11172,1,939142,0,65348238,0,58607019,0,13339885,0,0,26137295,0
2003-01-01 00:00:00,97,875183,14,3415,41,953243,14,388159,109,17872,1,1641349,0,95319986,0,46885617,0,13413586,0,0,27294195,0
2004-01-01 00:00:00,98,406364,13,573893,44,532413,14,562339,110,95364,1,201156,0,14592803,0,49815968,0,12946813,0,0,27379888,0
2005-01-01 00:00:00,97,362534,14,881136,47,449738,12,520575,112,3479,1,1982899,0,23633461,0,70328422,0,120624,0,0,46747199,0
2006-01-01 00:00:00,97,32605,13,806983,48,545349,13,693895,111,99354,1,182526,0,53605211,0,1435872,0,11718462,0,0,5403136,0
2007-01-01 00:00:00,96,463837,14,356855,45,158131,14,10318,109,46846,1,3220121,0,99742049,0,2637316,0,19334234,0,1,1127633,0
2008-01-01 00:00:00,94,417084,13,413426,47,343822,15,481391,109,38274,1,393427,1,397617,0,41024914,0,18376121,0,12283503,1,7961893
2009-01-01 00:00:00,90,387695,10,818997,45,282455,13,862671,102,7483,1,4689022,1,9434959,0,39545485,0,21201326,0,24567007,1,977008
2010-01-01 00:00:00,88,3246,11,417978,46,76885,15,218032,106,85166,1,5319576,2,4431889,0,39165205,0,30217418,0,24567007,1,9465859
2011-01-01 00:00:00,86,466599,9,6473198,44,581394,10,868935,110,34915,1,7108531,2,9608157,0,38658196,0,75862914,0,24567007,1,9568694
2012-01-01 00:00:00,84,385101,11,258204,41,542973,14,235844,106,16171,1,7261393,3,6636777,0,42427057,1,274045,0,2,174109,
2013-01-01 00:00:00,82,808479,11,9803,43,379147,17,160053,105,18774,1,707987,3,9388282,0,40853667,1,4580518,0,2,1745374,
2014-01-01 00:00:00,81,476959,9,134668,35,618629,15,24653,108,91399,1,7875227,4,2375631,0,41747817,1,7351676,0,2,4033458,
2015-01-01 00:00:00,81,37635,8,7076321,37,541973,13,211645,109,18002,1,9616413,5,220243,0,42403382,2,764034,0,2,422199,
2016-01-01 00:00:00,79,537537,8,1070147,41,110741,14,569955,100,69387,2,2809782,5,2573395,0,42490089,2,2675347,0,98268024,2,5160363
