,Oil,Coal,Gas,Hydroelectricity,Nuclear,Biomass and Waste,Wind,Fuel Ethanol,"Solar, Tide, Wave, Fuel Cell",Geothermal,Biodiesel,,,,,,,,,,,
1980-01-01 00:00:00,3323,72625553728,1796,28658943419,1358,584573218,423,26007167856,178,32164418835,4,2551262833,0,1,893006705,0,11546493,3,25170845306,0,,
1981-01-01 00:00:00,3193,3654353424,1824,16313718072,1359,3463004621,429,12729287786,202,882407763,4,2892253585,0,2,2886042161,0,13020514,3,5971411691,0,,
1982-01-01 00:00:00,3121,1161229975,1865,5312898119,1363,3775532381,439,79854969486,225,7542459298,6,5096537211,0,3,3992071688,0,14003193,3,846177389,0,,
1983-01-01 00:00:00,3077,9026005479,1916,94924465355,1390,9833748761,459,88671849304,255,797373911,6,7459544664,0,728853962,4,8087060598,0,140044213504,4,368775567,,
1984-01-01 00:00:00,3113,4187724258,2014,16951085858,1534,5749241244,475,9970972454,311,851178115,7,4589188557,0,124038819,6,6870612711,0,143544520564,4,97395993771,,
1985-01-01 00:00:00,3108,302820202,2094,48186790435,1598,3552328397,479,54343417105,371,436652549,7,5774391414,0,1787544536,7,1822905598,0,147814757564,5,47800756254,,
1986-01-01 00:00:00,3212,4767769258,2127,78466398868,1619,8627363527,489,29743511756,395,441199281,8,200043706,0,3665127248,6,6812004092,0,148908491227,6,11176860708,,
1987-01-01 00:00:00,3275,8392143235,2199,83203925718,1704,42894726,490,384246818,430,958970629,9,1362685619,0,5049527193,7,3639719621,0,142880967567,6,55459064098,,
1988-01-01 00:00:00,3378,6574768975,2271,91435712988,1791,10074408,509,15263921746,467,663664913,9,6681101804,0,8423314112,7,5427236121,0,140325262027,6,68519311522,,
1989-01-01 00:00:00,3409,3797851296,2258,38193970214,1872,216551287,506,5157590005,480,311843815,18,5735891438,0,63823684661,7,6570073621,0,210513944877,8,7159894176,,
1990-01-01 00:00:00,3448,9110156436,2348,54168412694,1894,752106536,526,83138871415,497,357242207,21,6277987835,0,86859105921,6,8980465361,0,255102815227,8,79996825307,,
1991-01-01 00:00:00,3466,9954680318,2206,19217173921,1935,27570748,536,32163899644,520,1125582,23,4931454744,1,649822901,7,5661662301,0,281249730267,9,10488716318,,
1992-01-01 00:00:00,3491,6486658761,2257,15064660888,1944,875347546,537,56814623244,525,18377106,26,26748294288,1,13287628646,7,2672706292,0,276080088684,9,38385011318,,
1993-01-01 00:00:00,3455,1335576031,2269,63081601133,1995,312493359,568,3644259027,542,387004919,27,13443090417,1,36542193283,7,3991361721,0,291085131064,9,62352661016,,
1994-01-01 00:00:00,3525,3236304261,2285,27831284652,1992,555204407,574,902068319,553,729959751,28,60847476818,1,78956242873,7,8386891751,0,304196532034,9,58763133376,,
1995-01-01 00:00:00,3606,6406150073,2349,84286244489,2051,1583589806,602,6795462273,575,847319885,30,5097093631,1,94952044048,8,4745751232,0,317034271901,9,39743474466,,
1996-01-01 00:00:00,3687,711434358,2400,6264274694,2098,4251294328,611,63520909478,597,7985083,31,201788127,2,28194299504,8,5449036282,0,328040774491,9,99623729492,,
1997-01-01 00:00:00,3773,2452649723,2362,7573450476,2111,565854948,625,43192391436,591,809849905,33,55749311299,2,98110433413,9,5060588328,0,3461562517208,10,34936781382,,
1998-01-01 00:00:00,3805,8254582624,2357,124345434,2128,572605728,626,72753434659,603,457368544,34,84148224437,3,957411151819,9,1544167758,0,370719795393,10,98290589842,,
1999-01-01 00:00:00,3891,7360385604,2384,35300090683,2182,1722218298,636,87944609939,623,55246413017,36,48177750717,5,21848908656,8,9229190322,0,392819552643,11,76342298422,,
2000-01-01 00:00:00,3931,971285701,2512,74865743843,2260,67323698,644,40290255666,638,341163519,38,718400767,7,7052728800261,8,3630721015,0,441086338607,12,66752464622,0,617440093
2001-01-01 00:00:00,3970,9106855397,2552,17112226288,2268,241814957,630,91772880231,655,7977084,41,31327087629,9,4257130383661,7,79760483524,0,50626679172,12,569610934927,0,7506974444
2002-01-01 00:00:00,4007,502997675,2627,36490436265,2372,3792948101,640,24373227154,663,28538127,44,90032063538,12,9631157805961,9,19860839248,0,596689109237,12,76361895713,0,93023065644
2003-01-01 00:00:00,4122,5465451912,2857,57936170501,2441,158986884,642,94635206057,656,2230695,47,25627995369,15,798071903273,10,51807786034,0,710959600894,13,18394088933,1,1800346747
2004-01-01 00:00:00,4246,7327337266,3056,91467647063,2517,17085793,684,84307515477,682,37552231,50,41433967926,20,6697634365841,13,552490042,0,86431446424,13,720470358254,1,63593766858
2005-01-01 00:00:00,4318,7986754814,3260,20471913086,2587,943604322,714,8101281545,683,9617012,54,7561113088,25,5543305550841,14,669135355883,7,6175763672766,13,902701063254,2,80654581158
