;"France";"Germany";"China";"Denmark";"United States of America";"Ivory Coast";"India"
"1900-01-01 00:00:21";23,22586;55,7173194;0;0;172,802933425898;0;3,5444628
"1901-01-01 00:00:21";22,47574;56,2353835;0;0;188,106534625039;0;3,87866405
"1902-01-01 00:00:21";20,85944;55,4947698;0,02499;0;198,880229250429;0;4,34239815
"1903-01-01 00:00:21";24,27628;60,0259422;0,5177928;0;231,205994923436;0;4,4685098
"1904-01-01 00:00:21";23,76437;62,450816;0,5512794;0;231,014085789502;0;5,0177734
"1905-01-01 00:00:21";24,98503;66,0557731;0,6062574;0;258,051899686806;0;5,22991865
"1906-01-01 00:00:21";23,79748;71,1158317;4,5146934;0;270,282205403198;0;5,973677
"1907-01-01 00:00:21";25,54545;75,0377793;4,443222;0;315,009447081414;0;6,7748883
"1908-01-01 00:00:21";25,98694;77,4919527;5,9976;0;279,911902661803;0;7,77097375
"1909-01-01 00:00:21";26,34765;78,3801636;5,4978;0;307,662862848703;0;7,487423
"1910-01-01 00:00:21";26,6616;79,5536945;4,9470204;0;335,845385759353;0;7,513892
"1911-01-01 00:00:21";27,28313;83,6468565;7,34706;0;335,166699660925;0;7,927886
"1912-01-01 00:00:00";28,60977;92,6414427;2,5819668;0;358,630052480936;0;9,1230211
"1913-01-01 00:00:00";28,43951;100,5471769;2,8378644;0;383,680513850516;0;10,0658194
"1914-01-01 00:00:00";19,08949;87,3956824;3,9854052;0,042;354,033180483547;0;10,1380524
"1915-01-01 00:00:00";13,48984;82,0405779;4,2448014;0,0336;367,537537206708;0;10,6006349
"1916-01-01 00:00:00";14,71281;88,6567585;4,7396034;0,098;405,253945728462;0;10,72233355
"1917-01-01 00:00:00";19,93446;92,6374211;5,2374042;0,455;446,576449601623;0;11,20016025
"1918-01-01 00:00:00";18,10941;89,5738142;5,5522782;0,70035;465,882585456985;0;12,58513775
"1919-01-01 00:00:00";15,53095;70,2076579;6,399939;0,525;394,834926594444;0;13,74122655
"1920-01-01 00:00:00";17,49396;80,3935244;7,0626738;0;471,40323214415;0;11,1536625
"1921-01-01 00:00:00";20,13473;84,8820747;6,67233;0;385,74202521876;0;11,99729165
"1922-01-01 00:00:00";22,20239;80,5419727;7,027188;0;381,599232440877;0;11,8048178
"1923-01-01 00:00:00";27,6606465716742;52,155486;8,4831054;0;515,360150174397;0;12,1456826
"1924-01-01 00:00:00";32,1757522343692;77,7118081;9,258795;0;466,587656624038;0;12,99287485
"1925-01-01 00:00:00";34,4413902604103;87,6069020256725;8,7654924;0;483,439611595514;0;12,81979495
"1926-01-01 00:00:00";37,7808027908119;93,0713940760103;7,8073766;0;534,295507844707;0;12,7718588
"1927-01-01 00:00:00";38,1588006129468;99,0544909677804;8,8464612;0;520,703500254918;0;13,3916138
