;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Solar, Tide, Wave, Fuel Cell";"Geothermal";"Biodiesel"
"1980-01-01 00:00:00";867,79529;388,99277;510,3772;68,586685;65,430573;0,1034592;0;;0;1,2463037;
"1981-01-01 00:00:00";805,5694;401,21832;498,06516;64,818733;71,047707;0,087854445;0;0,15823896;0;1,3969201;
"1982-01-01 00:00:00";762,99738;386,43954;462,97925;76,740944;73,679092;0,076650187;0;0,43955266;0;1,189747;
"1983-01-01 00:00:00";758,86346;400,88858;434,34262;82,370926;76,520233;0,090429924;0,00065544771;0,7911948;0;1,4924705;
"1984-01-01 00:00:00";784,31427;430,55377;463,9223;79,673592;85,368042;0,21160576;0,0015943988;0,96701586;0,0012892765;1,9016101;
"1985-01-01 00:00:00";781,3017;440,83939;446,51587;69,846588;99,974205;0,3302933;0,0014155509;1,1721405;0,0026114727;2,2909298;
"1986-01-01 00:00:00";813,62567;435,34061;418,46613;72,228279;107,88139;0,28106025;0,0010291119;1,3479614;0,0034472423;2,5323558;
"1987-01-01 00:00:00";830,63867;454,20755;444,90973;62,119171;118,62477;0,35278231;0,00086991768;1,553086;0,0025787987;2,6472082;
"1988-01-01 00:00:00";864,94226;475,34015;465,30396;55,5462;137,30765;0,39988631;0,00021397862;1,5823896;0,0022341236;2,530421;
"1989-01-01 00:00:00";864,62714;480,97601;494,39023;66,816589;137,9283;8,6938839;0,51886576;1,611693;0,068516642;3,5851722;
"1990-01-01 00:00:00";847,83624;483,57053;494,4321;71,948372;150,30667;10,934907;0,68507552;1,435872;0,098095074;3,7917383;
"1991-01-01 00:00:00";830,29382;479,00635;505,26974;70,997223;159,60942;11,796623;0,72496033;1,6703001;0,12473333;3,9224772;
"1992-01-01 00:00:00";847,67151;482,30539;522,43762;62,176147;161,22775;12,980008;0,70937794;1,8754246;0,10789436;3,9646142;
"1993-01-01 00:00:00";851,08734;500,28076;535,43622;68,908981;159,01691;13,364965;0,73844171;2,1977632;0,12426287;4,1244478;
"1994-01-01 00:00:00";873,17603;502,15491;548,02368;63,905106;166,87251;13,629971;0,84685147;2,4614949;0,13147819;3,8165958;
"1995-01-01 00:00:00";870,62378;506,67624;571,80975;76,362305;175,46106;13,596554;0,77736223;2,637316;0,13569291;3,2866375;
"1996-01-01 00:00:00";901,40338;529,70856;582,2392;85,287323;175,80682;13,78419;0,79451394;1,9047282;0,14371453;3,5201287;
"1997-01-01 00:00:00";913,93536;540,89478;585,72156;87,569901;163,79895;14,010106;0,8077718;2,4028878;0,14312468;3,6177623;
"1998-01-01 00:00:00";930,66223;546,19946;575,8222;79,433891;175,53923;14,040871;0,74332291;2,6666195;0,14329074;3,6295094;
"1999-01-01 00:00:00";956,53082;545,36194;577,81476;78,500435;189,75325;14,238298;1,1025667;2,75453;0,14471735;3,6425533;
"2000-01-01 00:00:00";967,66156;569,49908;600,88654;67,699936;196,43373;14,504199;1,3740968;3,1647792;0,14740007;3,4622672;0
"2001-01-01 00:00:00";965,94373;552,71979;574,36774;53,300835;200,32466;14,725901;1,6551605;3,3406003;0,1650065;3,3756297;0,028708179
"2002-01-01 00:00:00";967,6333;552,46051;592,96948;64,937683;203,25282;16,058962;2,5437367;3,9559739;0,17384179;3,560081;0,04584739
"2003-01-01 00:00:00";983,94995;562,97668;575,8327;67,757355;198,99763;16,094772;2,7484255;5,3918457;0,17501806;3,5436018;0,037706263
"2004-01-01 00:00:00";1021,8605;566,64044;578,1637;65,942101;205,45819;16,186552;3,4746938;6,7691112;0,19559562;3,6386132;0,074984051
"2005-01-01 00:00:00";1024,9855;574,97247;569,14191;66,409843;203,75362;16,026051;4,3755188;7,7654305;0,21664758;3,6093218;0,25366032
"2006-01-01 00:00:00";1016,4853;566,16046;560,90375;71,059189;205,11713;16,202116;6,532155;10,490657;0,24353151;3,5789287;0,72927344
"2007-01-01 00:00:00";1010,7549;573,78534;596,82031;60,80579;210,12141;16,186518;8,463316;13,157276;0,31803194;3,5959251;0,98850399
"2008-01-01 00:00:00";950,89734;564,65448;601,36517;62,604443;210,06488;15,963809;13,601056;18,461212;0,48191354;3,6457381;0,84624857
"2009-01-01 00:00:00";905,39093;496,64987;590,59503;67,177277;208,14899;15,8644;18,151611;20,88401;0,58127379;3,6871779;0,89938009
"2010-01-01 00:00:00";922,51855;525,4726;619,82257;63,924107;210,26291;16,467161;23,253223;23,941956;0,86989439;3,738905;0,72713101
"2011-01-01 00:00:00";908,46014;495,80722;629,40149;78,45594;205,8949;16,916124;29,523792;24,140749;1,3534497;3,7626994;2,4770446
"2012-01-01 00:00:00";888,19891;438,31256;658,00421;67,863953;200,45624;17,055801;34,595676;25,798344;2,519527;3,8232222;2,5061812
"2013-01-01 00:00:00";905,85614;454,97827;676,07703;65,978477;205,58534;17,781013;41,2332;26,313242;4,2174387;3,8753653;3,9938645
"2014-01-01 00:00:00";912,81427;453,94418;690,64771;63,718616;207,70891;18,498791;44,627266;26,754658;7,1056848;3,9004891;3,9600148
"2015-01-01 00:00:00";932,39435;392,17569;711,03363;61,191521;207,71204;18,548697;46,85384;27,437578;9,589036;3,9104717;4,1763973
"2016-01-01 00:00:00";945,45886;358,8064;716,31152;65,793427;209,93095;18,275221;55,765278;26,94788;13,479054;3,8879271;5,8127632
