;"Oil";"Coal";"Gas";"Hydroelectricity";"Nuclear";"Biomass and Waste";"Wind";"Fuel Ethanol";"Peat";"Geothermal";"Solar, Tide, Wave, Fuel Cell";"Biodiesel"
"1900-01-01 00:00:21";0,05;55,6673194;0;0;0;;;;0;;;
"1901-01-01 00:00:21";0,044;56,1913835;0;0;0;;;;0;;;
"1902-01-01 00:00:21";0,05;55,4447698;0;0;0;;;;0;;;
"1903-01-01 00:00:21";0,063;59,9629422;0;0;0;;;;0;;;
"1904-01-01 00:00:21";0,09;62,360816;0;0;0;;;;0;;;
"1905-01-01 00:00:21";0,079;65,9767731;0;0;0;;;;0;;;
"1906-01-01 00:00:21";0,081;71,0348317;0;0;0;;;;0;;;
"1907-01-01 00:00:21";0,106;74,9317793;0;0;0;;;;0;;;
"1908-01-01 00:00:21";0,141;77,3509527;0;0;0;;;;0;;;
"1909-01-01 00:00:21";0,137;78,2431636;0;0;0;;;;0;;;
"1910-01-01 00:00:21";0,14;79,4136945;0;0;0;;;;0;;;
"1911-01-01 00:00:21";0,137;83,5098565;0;0;0;;;;0;;;
"1912-01-01 00:00:00";0,135;92,5064427;0;0;0;;;;0;;;
"1913-01-01 00:00:00";0,121;100,4051069;0;0;0;;;;0,02107;;;
"1914-01-01 00:00:00";0,11;87,2856824;0;0;0;;;;0;;;
"1915-01-01 00:00:00";0,099;81,9415779;0;0;0;;;;0;;;
"1916-01-01 00:00:00";0,093;88,5637585;0;0;0;;;;0;;;
"1917-01-01 00:00:00";0,091;92,5464211;0;0;0;;;;0;;;
"1918-01-01 00:00:00";0,038;89,5358142;0;0;0;;;;0;;;
"1919-01-01 00:00:00";0,037;70,1706579;0;0;0;;;;0;;;
"1920-01-01 00:00:00";0,035;80,3585244;0;0;0;;;;0;;;
"1921-01-01 00:00:00";0,038;84,8440747;0;0;0;;;;0;;;
"1922-01-01 00:00:00";0,042;80,4999727;0;0;0;;;;0;;;
"1923-01-01 00:00:00";0,051;52,104486;0;0;0;;;;0;;;
"1924-01-01 00:00:00";0,059;77,6528081;0;0;0;;;;0;;;
"1925-01-01 00:00:00";0,079;86,827251;0;0,700651025672522;0;;;;0;;;
"1926-01-01 00:00:00";0,095;92,1612608;0;0,815133276010318;0;;;;0;;;
"1927-01-01 00:00:00";0,097;98,0224707;0;0,935020267780371;0;;;;0;;;
"1928-01-01 00:00:00";0,092;100,1827869;0;0,876059452155755;0;;;;0;;;
"1929-01-01 00:00:00";0,103;107,4855873;0;0,87556811202555;0;;;;0;;;
"1930-01-01 00:00:00";0,174;92,5028475;0;0,982680260410269;0;;;;0;;;
"1931-01-01 00:00:00";0,229;79,4431008;0;1,06596241248004;0;;;;0;;;
"1932-01-01 00:00:00";0,23;71,1902821;0;0,98759366171232;0;;;;0;;;
"1933-01-01 00:00:00";0,239;74,204382;0;1,0047905662695;0;;;;0,1204;;;
"1934-01-01 00:00:00";0,318;82,9628457;0;1,12983662940671;0;;;;0,1204;;;
"1935-01-01 00:00:00";0,427;92,8597131;0;1,41923596609753;0;;;;0,1204;;;
"1936-01-01 00:00:00";0,445;102,4861131;0;1,67915489497605;0;;;;0,1505;;;
"1937-01-01 00:00:00";0,451;118,7389217;0;1,69610612946812;0;;;;0,1505;;;
"1938-01-01 00:00:00";0,609;121,73973;0;1,79314580518364;0;;;;0;;;
"1939-01-01 00:00:00";0,74;120,3395487;0;2,02014494533841;0;;;;0;;;
"1940-01-01 00:00:00";1,056;122,3784163;0;1,99140154772141;0;;;;0;;;
"1941-01-01 00:00:00";0,902;124,3261131;0;2,09630266552021;0;;;;0;;;
"1942-01-01 00:00:00";0,744;126,6498569;0;0;0;;;;0;;;
"1943-01-01 00:00:00";0,711;128,9822002;0;1,75654096548336;0;;;;0;;;
"1944-01-01 00:00:00";0,722;114,9616055;0;0;0;;;;0;;;
"1945-01-01 00:00:00";0,543;28,8073632;0;0;0;;;;0;;;
"1946-01-01 00:00:00";0,65;70,4934013;0,201771111111111;0,899152438275396;0;;;;0,1505;;;
"1947-01-01 00:00:00";0,577;82,0620318;0,144386666666667;0,773860705073087;0;;;;0,5418;;;
"1948-01-01 00:00:00";0,635;95,6991112;0,124024444444444;1,92924702125046;0;;;;0,613438;;;
"1949-01-01 00:00:00";0,842;111,8758256;0,09996;1,66171232035376;0;;;;0,362705;;;
"1950-01-01 00:00:00";1,119;119,4716005;0,125875555555556;2,18400687876182;0;;;;0,283542;;;
